MEAL_CLSF_NM,MEAL_NM,COOK_MTH_CONT,MATRL_NM,CALORIE_QY,CARBOH_QY,PROTEIN_QY,FAT_QY,CELLU_QY,CALCIUM_QY,PHOSPH_QY,FE_QY,NATRIUM_QY,POTASSIUM_QY,VITAMINA_QY,THIAMIN_QY,RIBOFLAMIN_QY,NIACIN_QY,VITAMINC_QY,MEAL_PICTR_FILE_NM
"죽류","단호박죽","① 단호박과 물을 넣고 끓이면서 단호박을 으깬다.<br>② 찹쌀가루를 넣어 농도를 맞춘다.<br>③ 설탕과 소금을 약간 넣어 간을 한다.","찹쌀가루 5g, 설탕, 백설탕 2g, 호박, 당호박 40g, 소금, 식염 0.2g, ","38.2","8.8","1.0","0.1","0.7","9.5","21.8","0.2","68.6","117.9","76.4","0.0","0.0","0.4","7.6","3002.jpg"
"죽류","생선죽","① 쌀은 불리고 생선살은 끓는물에 살짝 데친 후 으깬다.<br>② 당근은 다진다.<br>③ 재료들을 냄비에 넣고 물을 부은 후, 약불에서 끓인다.","대구, 생것 15g, 쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 15g, 당근, 생것 2g, ","66.4","11.7","3.8","0.2","0.2","5.4","40.0","0.3","23.7","72.2","26.9","0.0","0.0","0.5","0.4","3003.jpg"
"죽류","야채죽","① 쌀과 충분한 물을 넣고 끓인다.<br>② 감자, 당근, 쇠고기, 시금치, 옥수수를 적당한 크기로 썬다.<br>③ 재료들을 냄비에 넣고 물을 부은 후, 약불에서 끓인다.<br>④ 농도가 맞춰지면 소금을 약간 넣어 간을 한다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 12g, 감자, 생것 7g, 당근, 생것 3g, 쇠고기, 수입우, 등심 3g, 시금치, 생것, 노지 3g, 옥수수, 찰옥수수, 생것 3.5g, 소금, 식염 0.2g, ","58.0","11.4","1.8","0.5","0.6","5.4","22.9","0.4","71.9","86.9","56.6","0.0","0.0","0.5","3.6","3004.jpg"
"죽류","쇠고기죽","① 쌀을 불린 후, 쇠고기를 볶아 쌀과 함께 넣어 약한불로 장시간 끓인다.<br>② 국간장, 소금, 마늘, 파, 참기름으로 간을 한다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 15g, 쇠고기, 수입우, 등심 7.5g, 간장, 재래간장 2g, 소금, 식염 0.2g, 파, 대파 1g, 마늘, 구근, 생것 0.5g, 참기름 0.2g, ","69.9","11.8","2.5","1.2","0.2","4.3","26.4","0.4","215.0","48.0","2.2","0.0","0.0","0.6","0.3","3005.jpg"
"죽류","닭백숙","① 닭고기, 찹쌀, 대추, 인삼과 물을 넣고 충분히 끓인다.<br>② 소금과 후추를 약간 넣고 간을 한다.","닭고기, 날것 50g, 쌀, 찹쌀, 백미 20g, 대추, 생과 1g, 인삼, 수삼 1g, 소금, 식염 0.2g, 후추, 분말 0.01g, ","163.4","16.8","10.8","5.3","0.2","7.8","116.2","1.0","96.5","137.1","27.5","0.1","0.1","3.9","1.7","3006.jpg"
"죽류","브로콜리스프","① 브로콜리를 살짝 데친 후, 양파를 적당한 크기로 잘라 팬에 버터를 두르고 볶는다.<br>② 밀가루를 넣어 약불에서 볶은 뒤 물을 넣고 끓인 후 믹서기에 갈아준다.<br>③ 휘핑크림을 넣고 살짝 끓인 후 소금, 후추로 간을 한다.","브로콜리, 생것 15g, 양파, 생것, 국내산 3g, 크림, 중휘핑 7g, 밀가공식품, 밀가루, 중력분 5g, 버터 2g, 소금, 식염 0.2g, 후추, 분말 0.01g, ","61.8","4.7","1.4","4.4","0.6","16.1","39.3","0.3","86.2","62.1","52.3","0.0","0.0","0.2","15.0","3007.jpg"
"죽류","호박죽","① 팥을 충분히 삶는다.<br>② 늙은 호박과 물을 넣고 끓이면서 늙은 호박 으깬다.<br>③ 고구마, 삶은 팥과 강낭콩을 넣고 끓인다.<br>④ 찹쌀가루를 넣어서 농도 맞추고, 소금을 약간 넣어 간을 한다.","호박, 늙은호박, 생것 40g, 찹쌀가루 5g, 고구마, 생것 4g, 설탕, 백설탕 2g, 강남콩, 생것 1.5g, 팥, 검정팥 2g, 소금, 식염 0.2g, ","51.6","11.5","1.3","0.1","1.5","15.3","31.5","0.6","68.5","191.2","48.4","0.0","0.0","0.3","7.1","3008.jpg"
"죽류","야채스프","① 분말 야채스프를 물에 풀어 끓인다.","스프, 야채스프, 오뚜기 15g, ","52.5","9.2","0.9","1.4","0.0","22.5","35.4","0.8","435.0","4.0","1.0","0.0","0.0","0.0","0.0","3009.jpg"
"죽류","크림스프","① 분말 크림스프를 물에 풀어 끓인다.","스프, 크림스프, 분말 15g, ","68.1","9.6","1.1","2.8","0.0","13.4","27.3","0.1","325.0","33.2","11.4","0.7","0.0","0.2","0.0","3010.jpg"
"죽류","감자죽","① 불린 쌀과 잘게 썬 감자를 볶는다.<br>② 물을 붓고 끓이다가 잘게 다진 애호박과 당근을 넣는다.<br>③ 소금으로 간을 맞춘다.\r\n\r\n","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 12g, 감자, 생것 10g, 호박, 애호박, 생것 3g, 당근, 생것 3g, 소금, 식염 0.2g, 참기름 0.2g, ","51.2","10.9","1.1","0.3","0.4","4.1","15.3","0.3","68.7","71.5","38.5","0.0","0.0","0.3","3.3","3011.jpg"
"죽류","게살치즈죽","① 게살은 잘게 뜯고 당근, 감자, 브로콜리는 작게 썰어둔다.<br>② 불린 쌀과 게살, 잘게 다진 채소를 넣고 볶은 후 물을 붓고 끓인다.<br>③ 소금으로 간을 맞추고 피자치즈를 넣고 섞는다.\r\n","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 12g, 어묵, 게맛살 10g, 당근, 생것 2g, 브로콜리, 생것 3g, 감자, 생것 3g, 치즈, 모짜렐라 5g, 청주 1g, 소금, 식염 0.2g, ","71.6","11.5","3.1","1.2","0.3","52.3","54.7","0.3","166.3","55.0","38.5","0.0","0.0","0.4","3.7","3012.jpg"
"죽류","계란죽","① 잘게 다진 당근, 브로콜리를 볶다가 밥과 물을 넣어 끓인다.<br>② 계란을 풀어서 전체적으로 섞는다.<br>③ 소금으로 간을 맞추고 깨소금을 뿌리고 김을 얹어낸다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 17g, 계란, 전란, 생것 25g, 당근, 생것 2g, 브로콜리, 생것 3g, 소금, 식염 0.2g, 참기름 0.2g, 김 참김, 마른김 0.1g, 깨소금 0.1g, ","102.8","13.6","4.5","3.1","0.4","18.4","61.4","0.8","104.3","67.7","71.7","0.0","0.1","0.3","3.2","3013.jpg"
"죽류","고구마타락죽","① 고구마는 쪄낸 후 우유와 함께 믹서기에 갈아준다.<br>② 냄비에 넣고 끓이다가 물에 푼 찹쌀가루를 넣고 저어가며 끓인다.<br>③ 소금으로 간을 맞춘다.","고구마, 생것 50g, 우유, 가공우유, 보통 100g, 찹쌀가루 5g, 소금, 식염 0.2g, ","145.9","24.1","4.1","3.5","1.2","112.7","129.4","0.4","124.8","370.0","40.5","0.1","0.2","0.4","13.5","3014.jpg"
"죽류","누룽지죽","① 냄비에 누룽지와 물을 붓고 약불에서 충분히 퍼지도록 끓인다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 20g, ","69.6","15.4","1.3","0.1","0.2","2.8","13.4","0.3","0.4","20.4","0.0","0.0","0.0","0.3","0.0","3015.jpg"
"죽류","단호박스프","① 얇게 썬 단호박과 양파를 볶다가 물을 붓고 끓인다.<br>② ①을 믹서기에 곱게 간 후 휘핑크림으로 맛을 내고 소금, 후추로 간을 맞춘다.","호박, 당호박 30g, 양파, 생것, 국내산 7g, 크림, 중휘핑 7g, 밀가공식품, 밀가루, 중력분 5g, 버터 4g, 소금, 식염 0.2g, 후추, 분말 0.01g, ","82.7","6.5","1.2","6.1","0.8","14.1","22.6","0.2","100.3","106.5","98.7","0.0","0.0","0.3","6.3","3016.jpg"
"죽류","당근죽","① 당근은 잘게 다져 볶아둔다.<br>② 불린 쌀을 볶다가 물을 붓고 끓인다.<br>③ 끓기 시작하면 당근을 넣고 끓이다가 소금으로 간을 맞추고 김을 얹어낸다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 15g, 당근, 생것 10g, 소금, 식염 0.2g, 참기름 0.2g, 김 참김, 마른김 0.2g, ","57.9","12.4","1.2","0.3","0.5","6.6","15.3","0.3","73.0","58.8","133.2","0.0","0.0","0.3","0.8","3017.jpg"
"죽류","버섯채소죽","① 당근, 표고, 양송이, 브로콜리는 잘게 다진다.<br>② 불린 쌀과 잘게 다진 채소를 볶다가 물을 붓고 끓인다.<br>③ 쌀이 퍼지면 소금으로 간을 맞춘다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 15g, 당근, 생것 3g, 표고버섯, 생것 5g, 양송이, 생것 5g, 브로콜리, 생것 3g, 소금, 식염 0.2g, 참기름 0.2g, ","58.6","12.2","1.5","0.3","0.7","5.7","22.7","0.4","69.0","75.9","41.6","0.0","0.0","0.7","3.5","3018.jpg"
"죽류","쇠고기스프","① 분말 쇠고기스프를 물에 풀어 끓인다.","스프, 쇠고기스프, 분말 20g, ","84.0","12.9","2.0","2.7","0.0","18.4","37.4","0.2","447.4","76.0","7.8","0.8","0.0","0.3","0.0","3019.jpg"
"죽류","식빵두유죽","① 식빵을 0.5cm로 자른다.<br>② 냄비에 두유를 넣고 끓이다가 식빵을 넣은 뒤 불을 줄인다.<br>③ 빵죽이 부드러워지면 설탕을 넣는다.","식빵, 식빵 30g, 두유 200g, 설탕, 백설탕 1g, ","197.0","24.6","9.8","7.3","4.0","52.4","132.9","1.7","190.1","374.4","0.6","0.1","0.0","1.1","0.0","3020.jpg"
